THREAD COUNT = 1
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.66353 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.65493 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.65092 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.65832 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.68947 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.71655 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.68929 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.65193 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.66526 seconds
Final Reimann Sum is 1.99999999999900974395
Method MPI took 22.63615 seconds
THREAD COUNT = 2
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.83519 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.85112 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.82953 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.91960 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.83565 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.82296 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.82999 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.81354 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 12.04253 seconds
Final Reimann Sum is 2.00000000320647435209
Method MPI took 11.86975 seconds
THREAD COUNT = 3
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.56717 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 8.79090 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.50179 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.48196 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.29141 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.86480 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.76735 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.80681 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.77079 seconds
Final Reimann Sum is 2.00000001525033184674
Method MPI took 9.21976 seconds
THREAD COUNT = 4
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.58250 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.57813 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.62860 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.56073 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.72187 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.53981 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.67868 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.56841 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.56348 seconds
Final Reimann Sum is 2.00000001594142889092
Method MPI took 7.56510 seconds
THREAD COUNT = 5
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.54878 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.54856 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.87205 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.67209 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.53236 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.50298 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.53499 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.83026 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.78259 seconds
Final Reimann Sum is 2.00000002856853537937
Method MPI took 7.56962 seconds
THREAD COUNT = 6
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.46845 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.39239 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.55306 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.61961 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.34883 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.34343 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.29599 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.44533 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.35778 seconds
Final Reimann Sum is 2.00000001642862355704
Method MPI took 7.44320 seconds
THREAD COUNT = 7
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.25627 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.40748 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.34158 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.26870 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.37513 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.27388 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.36929 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.43154 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.52623 seconds
Final Reimann Sum is 2.00000004156702609675
Method MPI took 7.36795 seconds
THREAD COUNT = 8
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.28432 seconds
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.49006 seconds
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.53071 seconds
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.77194 seconds
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.33270 seconds
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.65499 seconds
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.34205 seconds
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.50453 seconds
Final Reimann Sum is 2.00000004173429813585
Method MPI took 7.84958 seconds
Final Reimann Sum is 2.00000004173429813585
