THREAD COUNT = 1
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.72309 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.70081 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.70506 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.71252 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.68909 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.66776 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.66185 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.69301 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.73715 seconds
Final Reimann Sum is 1.99999999999900974395
Method OpenMP took 22.70038 seconds
THREAD COUNT = 2
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.84012 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.82288 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.90546 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.82425 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.82478 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.82625 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.82412 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.95006 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.81664 seconds
Final Reimann Sum is 2.00000000320647435209
Method OpenMP took 11.92910 seconds
THREAD COUNT = 3
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.49740 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.57253 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.48274 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.58441 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.49771 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.56590 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.49063 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.49157 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.49769 seconds
Final Reimann Sum is 2.00000001525033184674
Method OpenMP took 9.48915 seconds
THREAD COUNT = 4
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.53268 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.52139 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.81136 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.52790 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.53705 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.49252 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.48657 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.48979 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.50952 seconds
Final Reimann Sum is 2.00000001594142889092
Method OpenMP took 7.53934 seconds
THREAD COUNT = 5
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.42466 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.50252 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.46959 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.44652 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.35224 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.53580 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.04922 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.31878 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.73948 seconds
Final Reimann Sum is 2.00000002856853537937
Method OpenMP took 7.35685 seconds
THREAD COUNT = 6
Final Reimann Sum is 2.00000001642862355704
Method OpenMP took 7.44173 seconds
Final Reimann Sum is 2.00000001642862355704
Method OpenMP took 7.29150 seconds
Final Reimann Sum is 2.00000001642862355704
Method OpenMP took 7.22981 seconds
Final Reimann Sum is 2.00000001642862355704
Method OpenMP took 7.16738 seconds
Final Reimann Sum is 2.00000001642862355704
Method OpenMP took 7.09586 seconds
Final Reimann Sum is 2.00000001642862355704
Method OpenMP took 7.29755 seconds
Final Reimann Sum is 2.00000001642862355704
Method OpenMP took 7.29652 seconds
